"","x"
"1","ENSG00000000003"
"2","ENSG00000000005"
"3","ENSG00000000419"
"4","ENSG00000000457"
"5","ENSG00000000460"
"6","ENSG00000000938"
"7","ENSG00000000971"
"8","ENSG00000001036"
"9","ENSG00000001084"
"10","ENSG00000001167"
"11","ENSG00000001460"
"12","ENSG00000001461"
"13","ENSG00000001497"
"14","ENSG00000001561"
"15","ENSG00000001617"
"16","ENSG00000001626"
"17","ENSG00000001629"
"18","ENSG00000001630"
"19","ENSG00000001631"
"20","ENSG00000002016"
"21","ENSG00000002079"
"22","ENSG00000002330"
"23","ENSG00000002549"
"24","ENSG00000002586"
"25","ENSG00000002587"
"26","ENSG00000002822"
"27","ENSG00000002834"
"28","ENSG00000002919"
"29","ENSG00000002933"
"30","ENSG00000003056"
"31","ENSG00000003096"
"32","ENSG00000003137"
"33","ENSG00000003147"
"34","ENSG00000003249"
"35","ENSG00000003393"
"36","ENSG00000003400"
"37","ENSG00000003402"
"38","ENSG00000003436"
"39","ENSG00000003509"
"40","ENSG00000003756"
"41","ENSG00000003987"
"42","ENSG00000003989"
"43","ENSG00000004059"
"44","ENSG00000004139"
"45","ENSG00000004142"
"46","ENSG00000004399"
"47","ENSG00000004455"
"48","ENSG00000004478"
"49","ENSG00000004487"
"50","ENSG00000004534"
"51","ENSG00000004660"
"52","ENSG00000004700"
"53","ENSG00000004766"
"54","ENSG00000004776"
"55","ENSG00000004777"
"56","ENSG00000004779"
"57","ENSG00000004799"
"58","ENSG00000004809"
"59","ENSG00000004838"
"60","ENSG00000004864"
"61","ENSG00000004866"
"62","ENSG00000004897"
"63","ENSG00000004961"
"64","ENSG00000004975"
"65","ENSG00000005001"
"66","ENSG00000005007"
"67","ENSG00000005020"
"68","ENSG00000005022"
"69","ENSG00000005059"
"70","ENSG00000005075"
"71","ENSG00000005100"
"72","ENSG00000005102"
"73","ENSG00000005108"
"74","ENSG00000005156"
"75","ENSG00000005175"
"76","ENSG00000005187"
"77","ENSG00000005189"
"78","ENSG00000005194"
"79","ENSG00000005206"
"80","ENSG00000005238"
"81","ENSG00000005243"
"82","ENSG00000005249"
"83","ENSG00000005302"
"84","ENSG00000005339"
"85","ENSG00000005379"
"86","ENSG00000005436"
"87","ENSG00000005448"
"88","ENSG00000005469"
"89","ENSG00000005471"
"90","ENSG00000005483"
"91","ENSG00000005486"
"92","ENSG00000005513"
"93","ENSG00000005700"
"94","ENSG00000005801"
"95","ENSG00000005810"
"96","ENSG00000005812"
"97","ENSG00000005844"
"98","ENSG00000005882"
"99","ENSG00000005884"
"100","ENSG00000005889"
"101","ENSG00000005893"
"102","ENSG00000005955"
"103","ENSG00000005961"
"104","ENSG00000005981"
"105","ENSG00000006007"
"106","ENSG00000006015"
"107","ENSG00000006016"
"108","ENSG00000006025"
"109","ENSG00000006042"
"110","ENSG00000006047"
"111","ENSG00000006062"
"112","ENSG00000006071"
"113","ENSG00000006074"
"114","ENSG00000006114"
"115","ENSG00000006118"
"116","ENSG00000006125"
"117","ENSG00000006128"
"118","ENSG00000006194"
"119","ENSG00000006210"
"120","ENSG00000006282"
"121","ENSG00000006327"
"122","ENSG00000006432"
"123","ENSG00000006451"
"124","ENSG00000006453"
"125","ENSG00000006459"
"126","ENSG00000006468"
"127","ENSG00000006530"
"128","ENSG00000006534"
"129","ENSG00000006555"
"130","ENSG00000006576"
"131","ENSG00000006607"
"132","ENSG00000006625"
"133","ENSG00000006634"
"134","ENSG00000006638"
"135","ENSG00000006652"
"136","ENSG00000006695"
"137","ENSG00000006704"
"138","ENSG00000006712"
"139","ENSG00000006715"
"140","ENSG00000006740"
"141","ENSG00000006744"
"142","ENSG00000006747"
"143","ENSG00000006756"
"144","ENSG00000006757"
"145","ENSG00000006831"
"146","ENSG00000006837"
"147","ENSG00000007047"
"148","ENSG00000007062"
"149","ENSG00000007080"
"150","ENSG00000007168"
"151","ENSG00000007171"
"152","ENSG00000007174"
"153","ENSG00000007202"
"154","ENSG00000007237"
"155","ENSG00000007255"
"156","ENSG00000007264"
"157","ENSG00000007312"
"158","ENSG00000007341"
"159","ENSG00000007372"
"160","ENSG00000007376"
"161","ENSG00000007384"
"162","ENSG00000007392"
"163","ENSG00000007402"
"164","ENSG00000007516"
"165","ENSG00000007520"
"166","ENSG00000007541"
"167","ENSG00000007545"
"168","ENSG00000007866"
"169","ENSG00000007908"
"170","ENSG00000007923"
"171","ENSG00000007933"
"172","ENSG00000007944"
"173","ENSG00000007952"
"174","ENSG00000007968"
"175","ENSG00000008018"
"176","ENSG00000008056"
"177","ENSG00000008083"
"178","ENSG00000008086"
"179","ENSG00000008118"
"180","ENSG00000008128"
"181","ENSG00000008130"
"182","ENSG00000008226"
"183","ENSG00000008256"
"184","ENSG00000008277"
"185","ENSG00000008282"
"186","ENSG00000008283"
"187","ENSG00000008294"
"188","ENSG00000008300"
"189","ENSG00000008311"
"190","ENSG00000008323"
"191","ENSG00000008324"
"192","ENSG00000008382"
"193","ENSG00000008394"
"194","ENSG00000008405"
"195","ENSG00000008441"
"196","ENSG00000008513"
"197","ENSG00000008516"
"198","ENSG00000008517"
"199","ENSG00000008710"
"200","ENSG00000008735"
"201","ENSG00000008838"
"202","ENSG00000008853"
"203","ENSG00000008869"
"204","ENSG00000008952"
"205","ENSG00000008988"
"206","ENSG00000009307"
"207","ENSG00000009335"
"208","ENSG00000009413"
"209","ENSG00000009694"
"210","ENSG00000009724"
"211","ENSG00000009780"
"212","ENSG00000009790"
"213","ENSG00000009830"
"214","ENSG00000009844"
"215","ENSG00000009950"
"216","ENSG00000009954"
"217","ENSG00000010017"
"218","ENSG00000010030"
"219","ENSG00000010072"
"220","ENSG00000010165"
"221","ENSG00000010219"
"222","ENSG00000010244"
"223","ENSG00000010256"
"224","ENSG00000010270"
"225","ENSG00000010278"
"226","ENSG00000010292"
"227","ENSG00000010295"
"228","ENSG00000010310"
"229","ENSG00000010318"
"230","ENSG00000010319"
"231","ENSG00000010322"
"232","ENSG00000010327"
"233","ENSG00000010361"
"234","ENSG00000010379"
"235","ENSG00000010404"
"236","ENSG00000010438"
"237","ENSG00000010539"
"238","ENSG00000010610"
"239","ENSG00000010626"
"240","ENSG00000010671"
"241","ENSG00000010704"
"242","ENSG00000010803"
"243","ENSG00000010810"
"244","ENSG00000010818"
"245","ENSG00000010932"
"246","ENSG00000011007"
"247","ENSG00000011009"
"248","ENSG00000011021"
"249","ENSG00000011028"
"250","ENSG00000011105"
"251","ENSG00000011114"
"252","ENSG00000011132"
"253","ENSG00000011143"
"254","ENSG00000011198"
"255","ENSG00000011201"
"256","ENSG00000011243"
"257","ENSG00000011258"
"258","ENSG00000011260"
"259","ENSG00000011275"
"260","ENSG00000011295"
"261","ENSG00000011304"
"262","ENSG00000011332"
"263","ENSG00000011347"
"264","ENSG00000011376"
"265","ENSG00000011405"
"266","ENSG00000011422"
"267","ENSG00000011426"
"268","ENSG00000011451"
"269","ENSG00000011454"
"270","ENSG00000011465"
"271","ENSG00000011478"
"272","ENSG00000011485"
"273","ENSG00000011523"
"274","ENSG00000011566"
"275","ENSG00000011590"
"276","ENSG00000011600"
"277","ENSG00000011638"
"278","ENSG00000012048"
"279","ENSG00000012061"
"280","ENSG00000012124"
"281","ENSG00000012171"
"282","ENSG00000012174"
"283","ENSG00000012211"
"284","ENSG00000012232"
"285","ENSG00000012660"
"286","ENSG00000012779"
"287","ENSG00000012822"
"288","ENSG00000012963"
"289","ENSG00000012983"
"290","ENSG00000013016"
"291","ENSG00000013275"
"292","ENSG00000013288"
"293","ENSG00000013297"
"294","ENSG00000013306"
"295","ENSG00000013364"
"296","ENSG00000013374"
"297","ENSG00000013375"
"298","ENSG00000013392"
"299","ENSG00000013441"
"300","ENSG00000013503"
"301","ENSG00000013523"
"302","ENSG00000013561"
"303","ENSG00000013563"
"304","ENSG00000013573"
"305","ENSG00000013583"
